146,83,159,150
160,83,175,150
176,83,191,150
192,83,207,150
208,83,223,150
224,83,239,150
240,83,255,150
256,83,271,150
272,83,287,150
288,83,303,150
304,83,319,150
320,83,335,150
336,83,351,150
352,83,367,150
368,83,383,150
384,83,399,150
400,83,415,150
416,83,431,150
432,83,447,150
448,83,463,150
464,83,479,150
480,83,495,150
496,83,511,150
512,83,527,150
528,83,543,150
544,83,559,150
560,83,575,150
576,83,591,150
592,83,607,150
608,83,623,150
624,83,639,150
640,83,655,150
656,83,671,150
672,83,687,150
688,83,703,150
704,83,719,150
720,83,735,150
736,83,751,150
752,83,767,150
768,83,783,150
784,83,799,150
800,83,815,150
816,83,831,150
832,83,847,150
848,83,863,150
864,83,879,150
880,83,895,150
896,83,911,150
912,83,927,150
928,83,943,150
944,83,959,150
960,83,975,150
976,83,991,150
146,156,159,223
160,156,175,223
176,156,191,223
192,156,207,223
208,156,223,223
224,156,239,223
240,156,255,223
256,156,271,223
272,156,287,223
288,156,303,223
304,156,319,223
320,156,335,223
336,156,351,223
352,156,367,223
368,156,383,223
384,156,399,223
400,156,415,223
416,156,431,223
432,156,447,223
448,156,463,223
464,156,479,223
480,156,495,223
496,156,511,223
512,156,527,223
528,156,543,223
544,156,559,223
560,156,575,223
576,156,591,223
592,156,607,223
608,156,623,223
624,156,639,223
640,156,655,223
656,156,671,223
672,156,687,223
688,156,703,223
704,156,719,223
720,156,735,223
736,156,751,223
752,156,767,223
768,156,783,223
784,156,799,223
800,156,815,223
816,156,831,223
832,156,847,223
848,156,863,223
864,156,879,223
880,156,895,223
896,156,911,223
912,156,927,223
928,156,943,223
944,156,959,223
960,156,975,223
976,156,991,223
992,156,1007,223
1008,156,1023,223
1024,156,1039,223
1040,156,1055,223
1056,156,1071,223
1072,156,1087,223
146,229,159,296
160,229,175,296
176,229,191,296
192,229,207,296
208,229,223,296
224,229,239,296
240,229,255,296
256,229,271,296
272,229,287,296
288,229,303,296
304,229,319,296
320,229,335,296
336,229,351,296
352,229,367,296
368,229,383,296
384,229,399,296
400,229,415,296
416,229,431,296
432,229,447,296
448,229,463,296
464,229,479,296
